Recommendation reliability,BeMF,PMF,BiasedMF,NMF,BNMF,URP,SVD++
0,0.94480062873,0.16828180284,0.21489805977,0.24087135548,0.94184447439,0.92502721194,0.26343260464
0.1,0.93091723604,0.16828180284,0.21489805977,0.24087135548,0.94184447439,0.83441622244,0.26343260464
0.2,0.88157677964,0.16828180284,0.21489805977,0.24087135548,0.94184447439,0.83420313912,0.26343260464
0.3,0.73787542098,0.16828180284,0.21489805977,0.24087135548,0.94184447439,0.83295127464,0.26343260464
0.4,0.57531871022,0.16828180284,0.21489805977,0.24087135548,0.94115195362,0.83295127464,0.26343260464
0.5,0.43021243146,0.16828180284,0.21489805977,0.24087135548,0.91397545975,0.83295127464,0.26343260464
0.6,0.31012606968,0.16828180284,0.21489805977,0.24087135548,0.70253443079,0.83295127464,0.26343260464
0.7,0.21239683677,0.16828180284,0.21489805977,0.24087135548,0.38790449317,0.83295127464,0.26343260464
0.8,0.13860320197,0.16828180284,0.21489805977,0.24087135548,0.10252229303,0.83295127464,0.26343260464
0.9,0.06008702747,0.16828180284,0.21489805977,0.24087135548,0,0.83061649031,0.26343260464
