Prediction reliability,BeMF,PMF*,BiasedMF*,NMF*,BNMF*,URP,SVD++*
0,0.71496984746,0.7801912797,0.64024538762,0.7437106968,0.68907413977,0.80193501278,0.69800086442
0.1,0.71496984746,0.77332135008,0.63994681685,0.73699125698,0.68810117563,0.80193501278,0.69730982072
0.2,0.68926448737,0.77012272177,0.6398997228,0.73459783901,0.68794579173,0.80193501278,0.6976913565
0.3,0.62454379562,0.76882095377,0.63929186701,0.73411194805,0.68814709032,0.80193501278,0.69825325261
0.4,0.55358462676,0.76675339675,0.63938180797,0.73297079663,0.68747763864,0.80149744339,0.69737046169
0.5,0.48701298701,0.76639615658,0.63863814269,0.73275921459,0.68475916607,0.80149744339,0.69586216427
0.6,0.44708994709,0.76026833162,0.63500865094,0.72671396896,0.68151815182,0.80124450952,0.69234498238
0.7,0.33602150538,0.75001450001,0.62993806946,0.71453703229,0.66206079747,0.80242825607,0.67920570753
0.8,0.28787878788,0.73526703083,0.60583447809,0.69794380637,0.6098615917,0.80373658898,0.64474779364
0.9,0.27659574468,0.72147228335,0.54599048771,0.65757085073,0.49720670391,0.80242990654,0.59716315884
