Prediction reliability,BeMF,PMF*,BiasedMF*,NMF*,BNMF*,URP,SVD++*
0,0.92849896271,0.8890882339,0.86707956225,0.93037499526,0.91725179272,1.11564109011,0.88669000654
0.1,0.92849896271,0.88898779235,0.86703184791,0.93027131462,0.91717243841,1.11564109011,0.88664979429
0.2,0.91631299515,0.88894350594,0.86701007811,0.93020896104,0.91713753821,1.11563303374,0.88661125477
0.3,0.83550612739,0.88891187915,0.86697605909,0.93019106511,0.91711038529,1.11488035055,0.88657333422
0.4,0.70998247734,0.88888331142,0.86695396206,0.93010946633,0.91699488813,1.11485337106,0.88654969107
0.5,0.59428328777,0.88875355137,0.86691036991,0.92987989025,0.91649902696,1.11483986758,0.88648672832
0.6,0.48384390284,0.88824451106,0.86681182643,0.92916855761,0.91519567354,1.11339888728,0.88625824082
0.7,0.36953100409,0.88623433706,0.86641391803,0.92654246057,0.9132978704,1.11141047141,0.88528958358
0.8,0.23397588073,0.88154475028,0.86461680548,0.92029454515,0.90778053916,1.10912405661,0.88130503076
0.9,0.09780990857,0.83131488673,0.82505584516,0.84021142871,0.82788653721,1.10696767254,0.82502269321
